stoptime,TotalRent_R
2018-01-01,12.0
2018-01-02,60.0
2018-01-03,81.0
2018-01-04,11.0
2018-01-05,17.0
2018-01-06,7.0
2018-01-07,9.0
2018-01-08,47.0
2018-01-09,60.0
2018-01-10,81.0
2018-01-11,83.0
2018-01-12,77.0
2018-01-13,39.0
2018-01-14,17.0
2018-01-15,41.0
2018-01-16,89.0
2018-01-17,67.0
2018-01-18,87.0
2018-01-19,92.0
2018-01-20,56.0
2018-01-21,38.0
2018-01-22,98.0
2018-01-23,76.0
2018-01-24,90.0
2018-01-25,102.0
2018-01-26,105.0
2018-01-27,53.0
2018-01-28,30.0
2018-01-29,122.0
2018-01-30,77.0
2018-01-31,92.0
2018-02-01,102.0
2018-02-02,100.0
2018-02-03,37.0
2018-02-04,33.0
2018-02-05,106.0
2018-02-06,89.0
2018-02-07,66.0
2018-02-08,105.0
2018-02-09,106.0
2018-02-10,34.0
2018-02-11,18.0
2018-02-12,129.0
2018-02-13,88.0
2018-02-14,111.0
2018-02-15,124.0
2018-02-16,100.0
2018-02-17,38.0
2018-02-18,40.0
2018-02-19,56.0
2018-02-20,109.0
2018-02-21,113.0
2018-02-22,94.0
2018-02-23,86.0
2018-02-24,53.0
2018-02-25,27.0
2018-02-26,131.0
2018-02-27,109.0
2018-02-28,126.0
2018-03-01,115.0
2018-03-02,21.0
2018-03-03,41.0
2018-03-04,39.0
2018-03-05,152.0
2018-03-06,120.0
2018-03-07,42.0
2018-03-08,45.0
2018-03-09,94.0
2018-03-10,46.0
2018-03-11,43.0
2018-03-12,122.0
2018-03-13,70.0
2018-03-14,120.0
2018-03-15,106.0
2018-03-16,108.0
2018-03-17,59.0
2018-03-18,44.0
2018-03-19,118.0
2018-03-20,114.0
2018-03-21,33.0
2018-03-22,5.0
2018-03-23,126.0
2018-03-24,75.0
2018-03-25,32.0
2018-03-26,115.0
2018-03-27,110.0
2018-03-28,123.0
2018-03-29,140.0
2018-03-30,107.0
2018-03-31,77.0
2018-04-01,47.0
2018-04-02,41.0
2018-04-03,90.0
2018-04-04,108.0
2018-04-05,135.0
2018-04-06,101.0
2018-04-07,87.0
2018-04-08,49.0
2018-04-09,135.0
2018-04-10,137.0
2018-04-11,147.0
2018-04-12,135.0
2018-04-13,136.0
2018-04-14,114.0
2018-04-15,47.0
2018-04-16,42.0
2018-04-17,118.0
2018-04-18,163.0
2018-04-19,137.0
2018-04-20,149.0
2018-04-21,108.0
2018-04-22,104.0
2018-04-23,160.0
2018-04-24,187.0
2018-04-25,94.0
2018-04-26,177.0
2018-04-27,137.0
2018-04-28,90.0
2018-04-29,73.0
2018-04-30,142.0
2018-05-01,205.0
2018-05-02,195.0
2018-05-03,219.0
2018-05-04,199.0
2018-05-05,112.0
2018-05-06,88.0
2018-05-07,215.0
2018-05-08,217.0
2018-05-09,229.0
2018-05-10,190.0
2018-05-11,213.0
2018-05-12,63.0
2018-05-13,56.0
2018-05-14,192.0
2018-05-15,174.0
2018-05-16,153.0
2018-05-17,133.0
2018-05-18,175.0
2018-05-19,39.0
2018-05-20,85.0
2018-05-21,181.0
2018-05-22,178.0
2018-05-23,217.0
2018-05-24,226.0
2018-05-25,201.0
2018-05-26,97.0
2018-05-27,48.0
2018-05-28,85.0
2018-05-29,180.0
2018-05-30,204.0
2018-05-31,204.0
2018-06-01,165.0
2018-06-02,94.0
2018-06-03,97.0
2018-06-04,165.0
2018-06-05,200.0
2018-06-06,230.0
2018-06-07,204.0
2018-06-08,217.0
2018-06-09,105.0
2018-06-10,71.0
2018-06-11,227.0
2018-06-12,238.0
2018-06-13,217.0
2018-06-14,217.0
2018-06-15,202.0
2018-06-16,116.0
2018-06-17,93.0
2018-06-18,203.0
2018-06-19,237.0
2018-06-20,218.0
2018-06-21,211.0
2018-06-22,234.0
2018-06-23,117.0
2018-06-24,86.0
2018-06-25,245.0
2018-06-26,259.0
2018-06-27,223.0
2018-06-28,119.0
2018-06-29,230.0
2018-06-30,97.0
2018-07-01,25.0
2018-07-02,218.0
2018-07-03,190.0
2018-07-04,111.0
2018-07-05,178.0
2018-07-06,155.0
2018-07-07,111.0
2018-07-08,86.0
2018-07-09,242.0
2018-07-10,241.0
2018-07-11,208.0
2018-07-12,208.0
2018-07-13,217.0
2018-07-14,122.0
2018-07-15,107.0
2018-07-16,204.0
2018-07-17,183.0
2018-07-18,224.0
2018-07-19,234.0
2018-07-20,217.0
2018-07-21,99.0
2018-07-22,90.0
2018-07-23,131.0
2018-07-24,234.0
2018-07-25,113.0
2018-07-26,242.0
2018-07-27,189.0
2018-07-28,112.0
2018-07-29,107.0
2018-07-30,230.0
2018-07-31,259.0
2018-08-01,218.0
2018-08-02,264.0
2018-08-03,235.0
2018-08-04,87.0
2018-08-05,95.0
2018-08-06,243.0
2018-08-07,257.0
2018-08-08,240.0
2018-08-09,286.0
2018-08-10,222.0
2018-08-11,75.0
2018-08-12,117.0
2018-08-13,159.0
2018-08-14,239.0
2018-08-15,270.0
2018-08-16,256.0
2018-08-17,238.0
2018-08-18,87.0
2018-08-19,77.0
2018-08-20,246.0
2018-08-21,254.0
2018-08-22,248.0
2018-08-23,242.0
2018-08-24,197.0
2018-08-25,123.0
2018-08-26,82.0
2018-08-27,250.0
2018-08-28,240.0
2018-08-29,233.0
2018-08-30,230.0
